stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1007O00055C0,,Condomínio do Edifício Chácara Rio,,-22.929680,-43.209260,,,0,,,,
2036O00061C0,,Praça Varnhagen,,-22.920320,-43.235300,,,0,,,,
1007O00058C0,,Condomínio do Edifício Chácara Rio,,-22.929610,-43.208960,,,0,,,,
1007O00059C0,,Unicarioca,,-22.927730,-43.209300,,,0,,,,
1009O00006S9,JVTF,"BRS 1,2,3,4,6: Paulo de Frontin",,-22.915470,-43.209470,,,0,,,,
1007O00054C0,,Unicarioca,,-22.927440,-43.209620,,,0,,,,
1007O00071C0,,Ponto Final: Rio Comprido :: Praça Condessa Paulo de Frontin (Linha 711),,-22.924380,-43.208800,,,0,,,,
1007O00044C0,,Ponto Final: Rio Comprido :: Sampaio Viana,,-22.923710,-43.212310,,,0,,,,
1010O00034C0,,Ceará,,-22.907570,-43.218430,,,0,,,,
1008O00034C0,,Santa Maria,,-22.911430,-43.199560,,,0,,,,
1007O00066C0,,Sampaio Viana,,-22.922492,-43.209598,,,0,,,,
1007O00037C0,,"Santa Alexandrina, 565",,-22.929656,-43.208505,,,0,,,,
1008O00042C0,CMN0,Metrô Estácio,,-22.912670,-43.206110,,,0,,,,
1008O00035C0,,Frei Caneca,,-22.913760,-43.199510,,,0,,,,
1008O00018S0,ZJ6W,"BRS 1,2,3: Praça Onze",,-22.908180,-43.199310,,,0,,,,
1007O00073C0,,Dom Joaquim Mamede,,-22.938429,-43.207107,,,0,,,,
1007O00046C0,,Ponto Final: Santa Alexandrina :: 201,,-22.934843,-43.209949,,,0,,,,
1008O00023S0,W6SL,"BRS 4,5: Praça Onze",,-22.907601,-43.199440,,,0,,,,
1008O00024S0,WAMS,"BRS 1,2,3: Praça Onze",,-22.908045,-43.200742,,,0,,,,
1008O00025S0,WKFC,"BRS 4,5: Cidade Nova",,-22.909634,-43.205798,,,0,,,,
1008O00006S0,WWP8,"BRS 1,2,3: Cidade Nova",,-22.909737,-43.206137,,,0,,,,
1008O00026S0,2DLW,"BRS 3,5: Praça Onze",,-22.907500,-43.199520,,,0,,,,
1008O00001S0,2DP2,BRS 4: Praça Onze,,-22.907690,-43.200110,,,0,,,,
1008O00027S0,2DT8,"BRS 1,2,3: Praça Onze",,-22.907940,-43.200890,,,0,,,,
1008O00002S0,2E2W,"BRS 2,4: Cidade Nova",,-22.909508,-43.205978,,,0,,,,
1008O00030S0,2E6G,"BRS 1,3,5: Cidade Nova",,-22.909665,-43.206426,,,0,,,,
1008O00005S0,X3XI,"BRS 4,5: Praça Onze",,-22.908619,-43.201048,,,0,,,,
1008O00007S0,X6AG,"BRS 1,2,3: Praça Onze",,-22.907874,-43.198750,,,0,,,,
1008O00003S2,2K5Z,"BRS 1,3,5: Cidade Nova",,-22.910283,-43.205532,,,0,,,,
1008O00017S0,MN1E,"BRS 2,4: Cidade Nova",,-22.910168,-43.205172,,,0,,,,
1008O00004S0,MUGZ,"BRS 4,5: Praça Onze",,-22.907860,-43.198280,,,0,,,,
1008O00036C0,,Visconde de Duprat,,-22.910322,-43.203595,,,0,,,,
1010O00021C0,,INTO,,-22.894790,-43.215420,,,0,,,,
1008O00033C0,,Metrô Praça Onze,,-22.909741,-43.200200,,,0,,,,
1010O00037C0,,Igrejinha,,-22.896379,-43.213767,,,0,,,,
1010O00043C0,,Vieira Bueno,,-22.894020,-43.228700,,,0,,,,
1010O00065C0,,Eduardo Prado,,-22.906940,-43.215790,,,0,,,,
1010O00070C9,,Largo da Cancela,,-22.900520,-43.225030,,,0,,,,
1010O00075C0,,Fonseca Teles,,-22.902500,-43.218140,,,0,,,,
1010O00100C0,,Praça Virgilio de Melo Franco,,-22.904526,-43.219472,,,0,,,,
1010O00049C0,,Benedito Otoni,,-22.896920,-43.216720,,,0,,,,
